Wall time,Step,Value
1519955366.71368,8010100,100
1519955381.48682,8011680,77
1519955483.04002,8022640,93
1519955500.60812,8024520,91
1519955516.03957,8026200,80
1519955550.74877,8029900,77
1519955577.54544,8032760,84
1519955599.25759,8035100,81
1519955652.40447,8040800,94
1519955710.85662,8047100,71
1519955731.55202,8049320,92
1519955784.66151,8055020,103
1519955904.25232,8067880,87
1519955911.64763,8068700,111
1519955985.12801,8076600,82
1519956119.60127,8091060,94
1519956133.60914,8092560,109
1519956155.0583,8094860,77
1519956178.89536,8097420,84
1519956239.71015,8103700,104
1519956403.36282,8121320,90
1519956461.31816,8127500,86
1519956649.18285,8147660,83
1519956783.14642,8162060,91
1519956871.22034,8171540,82
1519956997.41346,8185020,85
1519957067.86175,8192560,77
1519957134.04809,8199640,93
1519957269.62088,8213840,82
1519957320.8075,8219340,130
1519957322.30795,8219480,106
1519957486.53614,8236980,92
1519957505.58819,8239020,75
1519957620.1137,8251340,74
1519957865.75149,8277120,94
1519957961.08211,8287220,91
1519958159.24286,8308040,90
1519958225.24535,8315300,95
1519958420.4472,8336720,103
1519958452.50445,8340220,76
1519958479.36113,8343180,101
1519958532.09467,8349000,97
1519958556.94477,8351720,82
1519958617.62517,8358380,83
1519958650.74214,8362000,95
1519958798.25089,8378000,101
1519958882.67355,8387260,94
1519958979.12004,8397860,83
1519959063.15388,8406940,75
1519959154.17911,8417000,81
1519959186.19468,8420540,78
1519959283.57698,8431240,84
1519959325.97296,8435780,90
1519959383.70147,8442220,89
1519959401.65943,8444200,79
1519959454.08671,8449960,91
1519959477.74088,8452540,100
1519959479.60906,8452720,102
1519959531.54385,8458460,73
1519959596.50435,8465640,61
1519959726.84958,8480040,74
1519959897.15697,8498780,82
1519959936.69379,8502940,81
1519960111.09126,8522160,99
1519960256.7816,8538340,83
1519960306.11869,8543720,91
1519960355.77139,8549240,101
1519960437.22791,8558260,83
1519960586.27106,8574560,91
1519960594.30266,8575420,92
1519960627.38429,8579040,81
1519960723.99595,8589680,102
1519960749.02256,8592460,68
1519960881.23647,8606920,82
1519960980.3264,8617880,80
1519961403.08951,8665240,84
1519961433.92439,8668740,86
1519961479.42411,8673100,110
1519961619.80426,8686540,90
1519961816.2849,8707800,96
1519961887.30569,8715560,80
1519961915.68433,8718720,79
1519961982.33609,8726120,98
1519962106.94675,8739600,84
1519962318.89564,8762580,90
